date,sm_tp1_t,sm_tp2_t,sm_tp3_t,sm_tp4_t,sm_tp5_t,sm_tp6_t,sm_tot_t,i_critical,i_quarant,i_under_test,i_nw_confirm,i_nw_quarant,i_nw_release,i_nw_test,i_nw_death,i_confirm_id_rto,i_quarant_id_rto,i_test_id_rto,i_test_cnfm_rto,i_confirm_rto,i_fatality_rto,i_release_rto,i_critical_rto
20200414,5581805,232473,263078,237447,349484,312841,6977128,0,2808,14651,27,-65,87,8695,5,0.002562399,0.022624434,0.016761672,0.020601146,0.020028894,0.000420903,0.713176827,0
20200415,4721626,137525,152828,128225,195596,226106,5561906,0,2750,15026,27,-58,82,7114,3,0.00255585,0.020655271,0.013487841,0.02038589,0.019812853,0.000420913,0.719101124,0
20200416,5407497,227621,256770,223994,341463,299563,6756908,0,2627,14268,22,-123,141,4223,4,0.002077235,0.044727273,0.007900073,0.020234239,0.01969839,0.000425038,0.730896071,0
20200417,5367854,202395,240211,204770,288152,301294,6604676,0,2576,14186,22,-51,72,7688,1,0.002072929,0.01941378,0.014269407,0.019980198,0.019461519,0.000420889,0.736154208,0
20200418,5708005,114849,141967,108138,169995,261523,6504477,0,2484,13550,18,-92,108,8371,2,0.001692525,0.035714286,0.015318512,0.019680981,0.019200337,0.000418143,0.745048343,0
20200419,4586814,51735,85939,44201,44612,203281,5016582,0,2385,12243,8,-99,105,4275,2,0.000750962,0.039855072,0.007705007,0.019494721,0.019067838,0.000418523,0.754338242,0
20200420,5315431,218556,245568,208849,314423,299803,6602630,0,2324,11981,13,-61,72,3926,2,0.001219398,0.02557652,0.007021887,0.019370152,0.018957969,0.000419157,0.760164887,0
20200421,5239622,230636,259957,233244,343926,294603,6601988,0,2233,12721,9,-91,99,7979,1,0.00084317,0.039156627,0.01417141,0.019135114,0.018708823,0.000415051,0.768791538,0
20200422,5229832,223883,252759,224932,338700,293633,6563739,0,2179,12121,11,-54,64,6945,1,0.001029673,0.024182714,0.012162574,0.018899402,0.018503043,0.000411794,0.773985412,0
20200423,5326820,226508,256832,226994,337135,298027,6672316,0,2051,10139,8,-128,134,6012,2,0.000748083,0.058742542,0.010402122,0.018650058,0.018326253,0.000410979,0.785927864,0
20200424,5902418,226821,257489,225462,336303,323304,7271797,0,1967,9600,6,-84,90,5549,0,0.000560643,0.040955631,0.009502184,0.018464616,0.01816393,0.000407111,0.793892417,0
20200425,5850215,115544,144714,113861,198494,266750,6689578,0,1843,9259,10,-124,134,5641,0,0.000933881,0.063040163,0.009568802,0.018293162,0.018008572,0.000403252,0.80565404,0
20200426,5271664,53320,86582,45938,49693,228332,5735529,0,1769,8999,10,-74,82,3124,2,0.00093301,0.040151926,0.005249,0.018205082,0.017931253,0.000404489,0.812546607,0
20200427,5554264,222283,250857,216260,331571,311201,6886436,0,1731,8895,10,-38,47,3375,1,0.00093214,0.021481063,0.005641124,0.018115105,0.017847289,0.000403883,0.816166884,0
20200428,5538529,240820,267011,251702,363718,309312,6971092,0,1654,9203,14,-77,90,6854,1,0.001303781,0.044482958,0.011391816,0.017940602,0.017669273,0.000400977,0.823474702,0
20200429,6235348,241782,271910,246807,354138,337436,7687421,0,1593,8307,9,-61,68,5683,2,0.000837054,0.03688029,0.009339144,0.01776065,0.017520437,0.000400523,0.829105102,0
20200430,6644809,133526,157719,121137,172111,275000,7504302,0,1459,8634,4,-134,137,5684,1,0.000371713,0.084118016,0.00925436,0.017611538,0.017366236,0.000398464,0.841523456,0
20200501,6627674,129724,148164,102733,108268,281164,7397727,0,1454,8685,9,-5,13,3188,1,0.000836043,0.003427005,0.005142923,0.017536264,0.017291825,0.00039803,0.842027102,0
20200502,6935460,102903,128963,82338,122996,278160,7650820,0,1407,8496,6,-47,51,4493,2,0.000556896,0.032324622,0.007211079,0.017413329,0.017177586,0.000398367,0.846289425,0
20200503,5935707,48525,89988,43105,37446,237175,6391946,0,1360,8588,13,-47,60,3411,0,0.001205937,0.033404407,0.00543532,0.017341356,0.017105328,0.000396213,0.850829241,0
20200504,6139515,189789,210076,173482,274948,311954,7299764,0,1332,8176,8,-28,34,2948,2,0.000741221,0.020588235,0.004672149,0.017261025,0.017038401,0.000397526,0.853346912,0
20200505,5401281,120881,142584,115242,174723,233323,6188034,0,1267,8858,3,-65,66,6316,2,0.000277752,0.048798799,0.009963387,0.017111751,0.016875001,0.000396728,0.859218808,0
